,Model Answer #1,Model Answer #2,Model Answer #3,Model Answer #4,Model Answer #5,Model Answer #6,Model Answer #7,Model Answer #8,Model Answer #9,Model Answer #10,Target Answer,Num Correct,Entropy,Num of Unique Answers
0,33,33,33,33,33,33,13,33,33,33,33,9,0.4689955935892812,2
1,x^2 + y^2 = c,19,N/A,23,23,N/A,23,996,2,1,23,3,2.846439344671015,7
2,116,116,116,116,116,116,116,116,116,116,116,10,0.0,1
3,809,N/A,809,1349,1215,809,809,809,1349,809,809,6,1.5709505944546687,4
4,18,8,103,36,35,254,35,273,2041,N/A,197,0,3.121928094887362,9
5,9,4,4,2000000,8,8,16,8,12,16,385,0,2.4464393446710155,6
6,3,137,3,17,67,N/A,73,3,N/A,\dfrac{1}{64},371,0,2.8464393446710154,7
7,201,N/A,84,N/A,400,3,"(200, 100, 100)",601,N/A,601,601,2,3.1219280948873624,7
8,25,25,25,25,25,25,25,25,25,200,25,9,0.4689955935892812,2
9,55,N/A,55,55,58,55,57,55,N/A,69,55,5,2.1609640474436813,5
10,540,540,540,36\sqrt{277},540,540,540,540,540,540,540,9,0.4689955935892812,2
11,N/A,10,1610230416830,285,0,1,99,N/A,90,799,45,0,3.321928094887362,9
12,240,204,204,204,204,204,204,204,144,204,204,8,0.9219280948873623,3
13,699,629,9911,1036,189,N/A,N/A,435,4101,5,699,1,3.321928094887362,9
14,147,294,N/A,180,294,294,294,2450,70,3290,294,4,2.5219280948873624,7
15,N/A,0,N/A,155,N/A,110,115,110,155,110,110,3,2.6464393446710153,5
16,721,673,721,N/A,N/A,673,26,N/A,721,24,721,3,2.6464393446710153,5
17,3,36,12,60,6,36,6,3,105,27,315,0,2.721928094887362,7
18,13,5008,\dfrac{704 \sqrt{30}}{5},468,468,468,312,\dfrac{3\sqrt{39}}{169},144,66240,468,3,2.8464393446710154,8
19,25,1023,2,512,35,20,2,2,2,62,902,0,2.5219280948873624,7
20,3,N/A,25,1001,19,14,192,1,211,22,211,1,3.321928094887362,10
21,100,100,100,200,20,20,500,1,40,20,80,0,2.3709505944546687,6
22,480,480,80,480,800,N/A,480,80,\dfrac{11520}{119},\dfrac{10560}{47},480,4,2.321928094887362,6
23,N/A,236,172,1,329,221,N/A,224,N/A,236,236,2,3.121928094887362,7
24,234,73,73,73,73,73,234,229,73,73,73,7,1.1567796494470395,3
25,2,N/A,N/A,N/A,53,\dfrac{366}{25},243,16,311,2875,113,0,3.321928094887362,8
26,7,12,-1,7,7,3,4,233,1 + \sqrt{57} - 5\sqrt{3},7,127,0,2.5219280948873624,7
27,N/A,38,N/A,104,N/A,52,104,13,129,104,104,3,2.846439344671015,6
28,N/A,\dfrac{405}{4},N/A,291,\dfrac{873}{8},107,75,184,16,184,104,0,3.1219280948873624,8
29,1,321,25000000,321,113,321,N/A,321,581,321,321,5,2.1609640474436813,6
