,Model Answer #1,Model Answer #2,Model Answer #3,Model Answer #4,Model Answer #5,Model Answer #6,Model Answer #7,Model Answer #8,Model Answer #9,Model Answer #10,Target Answer,Num Correct,Entropy
0,33,33,33,33,33,33,33,33,33,33,33,10,0.0
1,23,3,N/A,9,N/A,85,N/A,23,\dfrac{16}{3},19,23,2,3.121928094887362
2,116,116,116,116,116,116,116,116,116,116,116,10,0.0
3,1351,809,809,809,676,808,1012,809,809,809,809,6,1.7709505944546688
4,34,1083,35,9,34:1,36,141,N/A,36,7,197,0,3.121928094887362
5,8,9,4,2,8,N/A,16,2,8,4,385,0,2.446439344671015
6,31,6,17,131,133,N/A,17,73,17,17,371,0,2.5219280948873624
7,N/A,N/A,N/A,0,13,603,13,601,401,2,601,1,3.121928094887362
8,25,25,25,1000,25,25,25,25,5^{4/5},2,25,7,1.3567796494470397
9,53,N/A,N/A,55,N/A,N/A,58,49,55,57,55,2,3.121928094887362
10,540,540,540,540,540,540,36\sqrt{277},36\sqrt{277},540,540,540,8,0.7219280948873623
11,N/A,N/A,N/A,1,0,1,0,N/A,800,45,45,1,2.9219280948873623
12,204,204,204,204,204,204,204,204,204,204,204,10,0.0
13,9359,N/A,699,9456,N/A,N/A,N/A,N/A,N/A,N/A,699,1,3.321928094887362
14,2450,3290,2450,0,294,294,147,220,2450,294,294,3,2.3709505944546683
15,17,110,17,229,N/A,110,34,N/A,N/A,110,110,3,2.6464393446710153
16,714,721,721,N/A,36,673,233,100,\dfrac{657}{16},721,721,3,2.8464393446710154
17,6,N/A,3,6,21,12,6,12,3,15,315,0,2.4464393446710155
18,N/A,345,494,26 \sqrt{39},36,384,624,384,144,26\sqrt{39},468,0,3.121928094887362
19,2,2,N/A,1024,0,16,0,2,0,0,902,0,2.046439344671015
20,25,15,N/A,N/A,61,15,24,15,N/A,N/A,211,0,2.8464393446710154
21,200,80,100,100,N/A,100,N/A,200,200,20,80,1,2.3709505944546687
22,480,960,480,960,480,480,480,960,480,80,480,6,1.295461844238322
23,225,236,172,236,30,212,224,18,228,N/A,236,2,3.121928094887362
24,203,N/A,369,687,234,239,73,N/A,437,112,73,1,3.321928094887362
25,21,N/A,8,1721,26,1163,N/A,527,32,17 + \dfrac{\sqrt{65}}{10},113,0,3.321928094887362
26,18,4,N/A,\dfrac{12}{5},7,7,3,6,7,6,127,0,2.6464393446710153
27,28,N/A,104,104,4265,83,271,104,104,27,104,4,2.5219280948873624
28,N/A,167,184,8 + \sqrt{47},184,107,107,184,24,108,104,0,2.6464393446710153
29,321,24,321,321,321,321,321,1,321,321,321,8,0.9219280948873623
